user_id,community_id
1257,4
1258,9
1259,0
1260,9
1261,9
1262,3
1263,3
1264,8
1265,0
1266,9
1267,4
1268,9
1269,12
1270,7
1271,9
1272,4
1273,11
1274,10
1275,4
1276,0
1277,8
1278,1
1279,0
1280,1
1281,0
1282,2
1283,3
1284,5
1285,7
1286,14
1287,7
1288,13
1289,14
1290,12
1291,3
1292,0
1293,8
1294,13
1295,9
1296,14
1297,14
1298,11
1299,0
1300,5
1301,9
1302,14
1303,0
1304,9
1305,1
1306,14
1307,14
1308,1
1309,0
1310,7
1311,2
1312,6
1313,3
1314,5
1315,2
1316,12
1317,2
1318,5
1319,6
1320,4
1321,4
1322,3
1323,14
1324,4
1325,14
1326,4
1327,0
1328,2
1329,0
1330,1
1331,5
1332,14
1333,14
1334,7
1335,7
1336,5
1337,5
1338,4
1339,10
1340,2
1341,4
1342,10
1343,0
1344,8
1345,10
1346,6
1347,11
1348,11
1349,6
1350,9
1351,0
1352,0
1353,0
1354,0
1355,7
1356,6
1357,2
1358,3
1359,7
1360,6
1361,3
1362,1
1363,3
1364,3
1365,1
1366,10
1367,8
1368,5
1369,13
1370,1
1371,0
1372,1
1373,6
1374,9
1375,1
1376,11
1377,11
1378,0
1379,0
1380,9
1381,3
1382,10
1383,13
1384,10
1385,4
1386,11
1387,2
1388,0
1389,8
1390,0
1391,3
1392,4
1393,9
1394,0
1395,3
1396,9
1397,8
1398,8
1399,13
1400,8
1401,0
1402,7
1403,3
1404,5
1405,7
1406,3
1407,6
1408,3
1409,10
1410,4
1411,8
1412,6
1413,4
1414,0
1415,11
1416,6
1417,8
1418,0
1419,10
1420,6
1421,0
1422,3
1423,4
1424,8
1425,8
1426,2
1427,4
1428,8
1429,5
1430,1
1431,1
1432,10
1433,0
1434,0
1435,1
1436,4
1437,7
1438,10
1439,12
1440,0
1441,4
1442,1
1443,5
1444,0
1445,4
1446,4
1447,7
1448,14
1449,5
1450,7
1451,3
1452,0
1453,6
1454,14
1455,6
1456,12
1457,6
1458,5
1459,14
1460,2
1461,4
1462,0
1463,14
1464,0
1465,14
1466,14
1467,14
1468,3
1469,6
1470,1
1471,2
1472,5
1473,11
1474,4
1475,4
1476,0
1477,3
1478,10
1479,0
1480,2
1481,5
1482,9
1483,10
1484,3
1485,11
1486,6
1487,11
1488,3
1489,5
1490,0
1491,0
1492,11
1493,13
1494,1
1495,2
1496,5
1497,8
1498,10
1499,11
1500,7
1501,3
1502,9
1503,4
1504,0
1505,2
1506,0
1507,6
1508,3
1509,7
1510,8
1511,4
1512,4
1513,0
1514,11
1515,3
1516,5
1517,9
1518,4
1519,5
1520,0
1521,8
1522,0
1523,0
1524,1
1525,9
1526,4
1527,11
1528,1
1529,0
1530,7
1531,0
1532,10
1533,5
1534,0
1535,4
1536,3
1537,13
1538,0
1539,8
1540,10
1541,7
1542,10
1543,4
1544,12
1545,10
1546,10
1547,9
1548,1
1549,1
1550,7
1551,1
1552,12
1553,10
1554,1
1555,10
1556,10
1557,5
1558,14
1559,2
1560,4
1561,11
1562,1
1563,0
1564,9
1565,0
1566,14
1567,14
1568,2
1569,4
1570,14
1571,12
1572,9
1573,11
1574,6
1575,9
1576,0
1577,7
1578,10
1579,8
1580,1
1581,0
1582,11
1583,14
1584,2
1585,3
1586,0
1587,9
1588,11
1589,4
1590,2
1591,10
1592,0
1593,0
1594,14
1595,5
1596,4
1597,5
1598,10
1599,3
1600,7
1601,5
1602,9
1603,3
1604,2
1605,2
1606,1
1607,2
1608,0
1609,0
1610,13
1611,6
1612,0
1613,7
1614,0
1615,2
1616,1
1617,6
1618,2
1619,11
1620,2
1621,1
1622,0
1623,6
1624,5
1625,1
1626,3
1627,10
1628,4
1629,9
1630,12
1631,5
1632,13
1633,7
1634,8
1635,3
1636,7
1637,8
1638,1
1639,11
1640,5
1641,12
1642,11
1643,3
1644,11
1645,7
1646,8
1647,7
1648,0
1649,6
1650,0
1651,1
1652,9
1653,13
1654,8
1655,0
1656,5
1657,2
1658,10
1659,9
1660,3
1661,1
1662,4
1663,2
1664,0
1665,9
1666,1
1667,2
1668,0
1669,3
1670,9
1671,4
1672,9
1673,2
1674,4
1675,8
1676,1
1677,4
1678,8
1679,8
1680,5
1681,11
1682,0
1683,13
1684,11
1685,11
1686,3
1687,7
1688,0
1689,8
1690,12
1691,2
1692,0
1693,8
1694,0
1695,10
1696,0
1697,1
1698,3
1699,12
1700,2
1701,0
1702,1
1703,12
1704,1
1705,3
1706,6
1707,0
1708,7
1709,14
1710,13
1711,14
1712,1
1713,14
1714,14
1715,14
1716,9
1717,6
1718,3
1719,14
1720,0
1721,4
1722,2
1723,6
1724,14
1725,6
1726,8
1727,14
1728,14
1729,14
1730,14
1731,1
1732,14
1733,0
1734,8
1735,14
1736,1
1737,3
1738,10
1739,2
1740,1
1741,0
1742,2
1743,2
1744,6
1745,0
